x,z
0,20
0,21
0,22
0,23
0,24
1,20
1,21
1,22
1,23
1,24
2,20
2,21
2,22
2,23
2,24
3,20
3,21
3,22
3,23
3,24
4,20
4,21
4,22
4,23
4,24
5,20
5,21
5,22
5,23
5,24
6,20
6,21
6,22
6,23
6,24
7,20
7,21
7,22
7,23
7,24
8,20
8,21
8,22
8,23
8,24
9,20
9,21
9,22
9,23
9,24
10,20
10,21
10,22
10,23
10,24
11,20
11,21
11,22
11,23
11,24
12,20
12,21
12,22
12,23
12,24
13,20
13,21
13,22
13,23
13,24
14,20
14,21
14,22
14,23
14,24
15,20
15,21
15,22
15,23
15,24
16,20
16,21
16,22
16,23
16,24
17,20
17,21
17,22
17,23
17,24
18,20
18,21
18,22
18,23
18,24
19,20
19,21
19,22
19,23
19,24
20,20
20,21
20,22
20,23
20,24
21,20
21,21
21,22
21,23
21,24
22,20
22,21
22,22
22,23
22,24
23,20
23,21
23,22
23,23
23,24
24,20
24,21
24,22
24,23
24,24
25,0
25,1
25,2
25,3
25,4
25,5
25,6
25,7
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
25,26
25,27
25,28
26,0
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,17
26,18
26,19
26,20
26,21
26,22
26,23
26,24
26,25
26,26
26,27
26,28
27,0
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,27
27,28
28,0
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,17
28,18
28,19
28,20
28,21
28,22
28,23
28,24
28,25
28,26
28,27
28,28
29,0
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,17
29,18
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
30,24
30,25
30,26
30,27
30,28
31,24
31,25
31,26
31,27
31,28
32,24
32,25
32,26
32,27
32,28
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,15
45,16
45,17
45,18
45,19
45,20
45,21
45,22
45,23
45,24
45,25
45,26
45,27
45,28
45,29
45,30
