x,z
15,0
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
16,0
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
17,0
17,1
17,2
17,3
17,4
17,5
17,6
17,7
17,8
17,9
18,0
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
19,0
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
20,5
20,6
20,7
20,8
20,9
21,5
21,6
21,7
21,8
21,9
22,5
22,6
22,7
22,8
22,9
23,5
23,6
23,7
23,8
23,9
24,5
24,6
24,7
24,8
24,9
25,5
25,6
25,7
25,8
25,9
26,5
26,6
26,7
26,8
26,9
27,5
27,6
27,7
27,8
27,9
28,5
28,6
28,7
28,8
28,9
29,5
29,6
29,7
29,8
29,9
30,5
30,6
30,7
30,8
30,9
31,5
31,6
31,7
31,8
31,9
32,5
32,6
32,7
32,8
32,9
33,5
33,6
33,7
33,8
33,9
34,5
34,6
34,7
34,8
34,9
35,5
35,6
35,7
35,8
35,9
36,5
36,6
36,7
36,8
36,9
37,5
37,6
37,7
37,8
37,9
38,5
38,6
38,7
38,8
38,9
39,5
39,6
39,7
39,8
39,9
35,10
36,10
37,10
38,10
39,10
35,11
36,11
37,11
38,11
39,11
35,12
36,12
37,12
38,12
39,12
35,13
36,13
37,13
38,13
39,13
35,14
36,14
37,14
38,14
39,14
35,15
36,15
37,15
38,15
39,15
35,16
36,16
37,16
38,16
39,16
35,17
36,17
37,17
38,17
39,17
35,18
36,18
37,18
38,18
39,18
35,19
36,19
37,19
38,19
39,19
35,20
36,20
37,20
38,20
39,20
35,21
36,21
37,21
38,21
39,21
35,22
36,22
37,22
38,22
39,22
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,15
45,16
45,17
45,18
45,19
45,20
45,21
45,22
45,23
45,24
45,25
45,26
45,27
45,28
45,29
45,30
